Scientific Name,Class,Order,Family,Trend,Status,Life Span (years),Length (cm),Weight (kg),Is Social,Is Nocturnal,Diet,Mating Behavior,Incubation Period (days),Baby Carrying,Independent Age (days),Africa,Antarctica,Asia,Europe,Oceania,South America,Central America,North America,Cold,Dry/Desert,Polar/Tundra,Temperate,Tropical
Cercocebus torquatus,mammalia,primates,cercopithecidae,0,1,22,56,8.5,1,0,0,,170,1,,1,0,0,0,0,0,0,0,0,0,0,0,1
Semnopithecus johnii,mammalia,primates,cercopithecidae,0,1,,69,11.5,1,0,2,,200,1,365,0,0,1,0,0,0,0,0,0,0,0,0,1
Balaena mysticetus,mammalia,artiodactyla,balaenidae,2,0,100,1600,55000,1,0,1,1,405,1,360,0,0,0,0,0,0,0,0,1,0,1,0,0
Ateles chamek,mammalia,primates,atelidae,0,1,34,700,,1,0,2,1,140,1,300,0,0,0,0,0,0,0,0,0,0,0,0,1
Ozotoceros bezoarticus,mammalia,artiodactyla,cervidae,0,0,16,,28,1,0,2,,210,1,365,0,0,0,0,0,0,0,0,0,0,0,0,1
Mustela putorius furo,mammalia,carnivora,mustelidae,,0,8.5,45,1,1,0,1,1,42,5,90,1,1,1,1,1,1,1,1,1,1,0,1,1
Phacochoerus aethiopicus,mammalia,artiodactyla,suidae,0,0,12.5,125,87.5,1,0,0,1,170,2.5,,1,0,0,0,0,0,0,0,0,1,0,0,1
Solenodon paradoxus,mammalia,eulipotyphla,solenodontidae,0,1,11,60.5,0.8,1,1,0,,84,2,,0,0,0,0,0,0,0,0,0,0,0,0,1
Tragelaphus imberbis,mammalia,artiodactyla,bovidae,0,0,12.5,125,82,1,1,2,,225,1,,1,0,0,0,0,0,0,0,0,0,0,0,1
Eulemur fulvus,mammalia,primates,lemuridae,0,0,,92.5,2.5,1,0,2,,120,1,135,1,0,0,0,0,0,0,0,0,0,0,0,1
Gazella gazella,mammalia,artiodactyla,bovidae,0,1,11.5,,23,1,0,2,1,180,1,120,0,0,1,0,0,0,0,0,0,0,0,1,0
Ondatra zibethicus,mammalia,rodentia,cricetidae,1,0,6.5,55,1,1,0,2,1,,7.5,42,0,0,1,1,0,0,0,0,1,1,1,1,0
Lepus saxatilis,mammalia,lagomorpha,leporidae,0,0,4,55,2.5,0,1,2,1,42,2,,1,0,0,0,0,0,0,0,0,0,0,1,1
Lagenorhynchus australis,mammalia,artiodactyla,delphinidae,,0,13,200,115,1,0,1,,330,1,720,0,0,0,0,0,0,0,0,0,0,0,1,0
Colobus polykomos,mammalia,primates,cercopithecidae,,1,23,58.5,8.5,1,0,2,1,175,1,,1,0,0,0,0,0,0,0,0,0,0,0,1
Dasyurus geoffroii,mammalia,dasyuromorphia,dasyuridae,1,0,3.5,41,0.5,0,1,1,,19.5,4,126,0,0,0,0,1,0,0,0,0,1,0,0,0
Saguinus midas,mammalia,primates,callitrichidae,1,0,13,24,0.475,1,0,0,1,155,2,,0,0,0,0,0,0,0,0,0,0,0,0,1
Grampus griseus,mammalia,artiodactyla,delphinidae,,0,30,300,400,1,1,1,,405,1,450,1,1,1,1,1,0,0,0,0,0,0,1,1
Ovibos moschatus,mammalia,artiodactyla,bovidae,1,0,16,192.5,295,1,0,2,1,255,1,730,0,0,0,0,0,0,0,0,1,0,1,0,0
Philander opossum,mammalia,didelphimorphia,didelphidae,1,0,2.5,27.5,,0,1,0,1,13.5,4.5,83,0,0,0,0,0,0,0,0,0,0,0,1,1
Chinchilla lanigera,mammalia,rodentia,chinchillidae,0,1,15,,0.7,1,1,2,0,111,2.5,49,0,0,0,0,0,0,0,0,0,0,0,0,1
Eubalaena japonica,mammalia,artiodactyla,balaenidae,,1,75,1650,65000,1,0,1,1,375,1,365,0,0,1,0,0,0,0,0,1,0,0,1,0
Hippocamelus bisulcus,mammalia,artiodactyla,cervidae,0,1,14,157.5,80,1,0,2,,210,1,135,0,0,0,0,0,0,0,0,1,0,0,1,0
Cavia aperea,mammalia,rodentia,caviidae,1,0,6.5,27.2,0.637,1,0,2,1,62,2,25,0,0,0,0,0,0,0,0,0,0,0,0,1
Cercopithecus ascanius,mammalia,primates,cercopithecidae,,0,28,42,3.5,1,0,0,1,180,1,,1,0,0,0,0,0,0,0,0,0,0,0,1
Leontopithecus chrysomelas,mammalia,primates,callitrichidae,0,1,21,24,0.535,1,0,0,0,128.5,2,,0,0,0,0,0,0,0,0,0,0,0,0,1
Pteropus rufus,mammalia,chiroptera,pteropodidae,0,1,11.5,25,0.625,1,1,2,,125,1.5,135,1,0,0,0,0,0,0,0,0,0,0,0,1
Cavia porcellus,mammalia,rodentia,caviidae,,0,11,22.5,0.3505,1,0,2,,65.5,3,17.5,1,1,1,1,1,1,1,1,0,0,0,0,1
Tetracerus quadricornis,mammalia,artiodactyla,bovidae,0,1,10,95,19.5,0,0,2,,240,1.5,365,0,0,1,0,0,0,0,0,0,0,0,0,1
Neotoma lepida,mammalia,rodentia,cricetidae,1,0,4,33.5,0.236,0,1,2,1,33,5,28,0,0,0,0,0,0,0,0,0,0,0,1,0
Beatragus hunteri,mammalia,artiodactyla,bovidae,0,1,12.5,160,95.5,1,0,2,1,210,1,,1,0,0,0,0,0,0,0,0,0,0,0,1
Phocoena dioptrica,mammalia,artiodactyla,phocoenidae,,0,9,150,72,0,0,1,,285,1,,0,1,0,0,1,0,0,0,0,0,1,0,0
Marmota caligata,mammalia,rodentia,sciuridae,1,0,12,72,5,1,0,2,0,27.5,3.5,730,0,0,0,0,0,0,0,0,1,0,1,1,0
Eschrichtius robustus,mammalia,artiodactyla,eschrichtiidae,1,0,80,1400,24500,1,0,1,1,405,1,195,0,0,1,0,0,0,0,0,1,0,0,1,0
Prionailurus planiceps,mammalia,carnivora,felidae,0,1,14,45.5,1.5,0,1,1,,56,1.5,,0,0,1,0,0,0,0,0,0,0,0,0,1
Rattus exulans,mammalia,rodentia,muridae,1,0,13.5,,0.06,1,1,0,,22.5,4,28,0,0,1,0,0,0,0,0,0,0,0,0,1
Dama dama mesopotamica,mammalia,artiodactyla,cervidae,2,1,15,,70,1,0,2,1,229,1,,0,0,1,0,0,0,0,0,0,0,0,1,0
Galidia elegans,mammalia,carnivora,eupleridae,0,0,13,35,0.8,1,0,1,,82,1,,1,0,0,0,0,0,0,0,0,0,0,0,1
Ziphius cavirostris,mammalia,artiodactyla,ziphiidae,,0,40,600,3500,1,0,1,,1,1,,1,0,1,1,1,0,0,0,0,0,0,1,1
Tragelaphus spekii,mammalia,artiodactyla,bovidae,0,0,21.5,140.5,71.5,0,1,2,1,240,1,,1,0,0,0,0,0,0,0,0,0,0,0,1
Miopithecus ogouensis,mammalia,primates,cercopithecidae,1,0,28,35,0.5,1,0,0,,,1,90,1,0,0,0,0,0,0,0,0,0,0,0,1
Lontra longicaudis,mammalia,carnivora,mustelidae,0,0,,120,10,0,0,1,,56,3,,0,0,0,0,0,0,0,0,0,0,0,0,1
Cercopithecus mona,mammalia,primates,cercopithecidae,,0,30,48.5,4.5,1,0,0,1,165,1,365,1,0,0,0,0,0,0,0,0,0,0,0,1
Pteropus rodricensis,mammalia,chiroptera,pteropodidae,2,1,30,17.5,0.35,1,1,2,1,150,1,270,1,0,0,0,0,0,0,0,0,0,0,0,1
Acomys cahirinus,mammalia,rodentia,muridae,1,0,4,11.1,0.064,1,1,0,1,38.5,5,,1,0,0,0,0,0,0,0,0,0,0,1,0
Phocoenoides dalli,mammalia,artiodactyla,phocoenidae,,0,17.5,200,185,1,0,1,1,315,1,730,0,0,1,0,0,0,0,0,1,0,0,1,0
Ourebia ourebi,mammalia,artiodactyla,bovidae,0,0,11,101,17,1,0,2,1,195,1,135,1,0,0,0,0,0,0,0,0,0,0,0,1
Ratufa macroura,mammalia,rodentia,sciuridae,0,0,7.5,35,2,0,0,0,,28,1.5,75,0,0,1,0,0,0,0,0,0,0,0,0,1
Hystrix brachyura,mammalia,rodentia,hystricidae,0,0,27,67.5,1,1,1,2,,,2.5,,0,0,1,0,0,0,0,0,0,0,0,0,1
Madoqua kirkii,mammalia,artiodactyla,bovidae,1,0,11.5,59.5,4.5,1,1,2,0,165,1,210,1,0,0,0,0,0,0,0,0,0,0,0,1
Thomomys bottae,mammalia,rodentia,geomyidae,1,0,2,22.5,0.185,0,1,2,,18,3.5,60,0,0,0,0,0,0,0,0,0,0,0,1,0
Zaglossus bartoni,mammalia,monotremata,tachyglossidae,0,1,30,80,7.5,0,1,0,,,1,,0,0,0,0,1,0,0,0,0,0,0,0,1
Pseudois nayaur,mammalia,artiodactyla,bovidae,,0,13.5,140,55,1,0,2,,160,1,180,0,0,1,0,0,0,0,0,1,0,0,1,0
Podomys floridanus,mammalia,rodentia,cricetidae,0,1,4,19.9,0.0325,0,1,0,,23.5,3,24.5,0,0,0,0,0,0,0,0,0,0,0,1,0
Apodemus agrarius,mammalia,rodentia,muridae,1,0,2.5,12.6,,1,1,0,,,6,,0,0,1,1,0,0,0,0,0,0,0,1,0
Ratufa bicolor,mammalia,rodentia,sciuridae,0,0,18.5,46.5,1.546,0,0,2,,31.5,1.5,35,0,0,1,0,0,0,0,0,0,0,0,0,1
Sciurus variegatoides,mammalia,rodentia,sciuridae,1,0,15.5,26,0.5,0,0,2,,39.5,5,105,0,0,0,0,0,0,0,0,0,0,0,0,1
Sylvilagus obscurus,mammalia,lagomorpha,leporidae,0,0,1,40.8,0.3785,0,0,2,,28,3.5,24.5,0,0,0,0,0,0,0,0,0,0,0,1,0
Cercopithecus lomamiensis,mammalia,primates,cercopithecidae,,1,28,52.5,5,1,0,2,,165,1,,1,0,0,0,0,0,0,0,0,0,0,0,1
Sciurus aureogaster,mammalia,rodentia,sciuridae,1,0,6,27.1,0.5275,0,0,2,,,3,,0,0,0,0,0,0,0,0,0,0,0,0,1
Lepus brachyurus,mammalia,lagomorpha,leporidae,1,0,4,49.5,1.5,0,0,2,1,44,3.5,,0,0,1,0,0,0,0,0,0,0,0,1,0
Hyperoodon planifrons,mammalia,artiodactyla,ziphiidae,,0,43.5,650,7000,1,0,1,,,1,,1,1,0,0,1,0,0,0,1,0,0,1,0
Tupaia belangeri,mammalia,scandentia,tupaiidae,1,0,7,33.5,0.16,1,0,0,0,43,3,55,1,1,1,1,1,1,1,1,0,0,0,1,1
Bubalus bubalis,mammalia,artiodactyla,bovidae,,1,27,,425,1,1,2,1,310,1,225,0,0,1,0,0,0,0,0,0,0,0,0,1
Dipodomys merriami,mammalia,rodentia,heteromyidae,1,0,9,35,0.045,0,1,2,,30,4,28.5,0,0,0,0,0,0,0,0,0,1,0,0,1
Saimiri oerstedii,mammalia,primates,cebidae,0,1,17.5,27.85,0.775,1,0,0,,180,1,365,0,0,0,0,0,0,0,0,0,0,0,0,1
Gazella spekei,mammalia,artiodactyla,bovidae,0,1,12,100,20,1,0,2,,195,1,,1,0,0,0,0,0,0,0,0,1,0,0,1
Neotamias amoenus,mammalia,rodentia,sciuridae,1,0,4,21.3,0.051,0,0,0,1,30,5.5,70,0,0,0,0,0,0,0,0,0,0,0,1,0
