Scientific Name,Class,Order,Family,Trend,Status,Life Span (years),Length (cm),Weight (kg),Is Social,Is Nocturnal,Diet,Mating Behavior,Incubation Period (days),Baby Carrying,Independent Age (days),Africa,Antarctica,Asia,Europe,Oceania,South America,Central America,North America,Cold,Dry/Desert,Polar/Tundra,Temperate,Tropical
Chelodina longicollis,2,57,chelidae,1,0,34.0,26.5,0.63,0,0,1,1,135.0,16.0,196.80432558196833,1,1,1,1,1,1,1,1,0,0,0,1,0
Sceloporus occidentalis,2,53,phrynosomatidae,1,0,6.0,21.0,7.013792857142858,0,0,0,1,105.11304347826086,10.0,9.714285714285714,0,0,0,0,0,0,0,0,0,0,0,1,1
Testudo horsfieldii ,2,57,testudinidae,1,1,40.0,19.0,31.174407407407404,1,0,2,1,95.0,4.0,196.80432558196833,0,0,1,0,0,0,0,0,1,1,0,0,0
Chelonia mydas,2,57,cheloniidae,0,1,100.0,95.0,129.0,0,1,2,1,49.0,135.0,196.80432558196833,1,1,1,0,1,0,0,0,0,0,0,1,1
Testudo hermanni,2,57,testudinidae,0,0,52.5,17.5,2.0,0,0,2,1,90.0,7.0,196.80432558196833,0,0,1,1,0,0,0,0,0,0,0,1,0
Testudo kleinmanni,2,57,testudinidae,1,1,50.0,14.0,0.255,0,0,2,1,75.0,3.0,196.80432558196833,1,0,0,0,0,0,0,0,0,1,0,0,0
Pogona vitticeps,2,53,agamidae,1,0,10.5,55.5,0.38,0,0,0,1,70.0,24.0,9.714285714285714,0,0,0,0,1,0,0,0,0,1,0,0,0
Crocodylus porosus,2,16,crocodylidae,1,0,55.0,450.0,1.0,0,1,1,1,90.0,50.0,240.0,0,0,1,0,1,0,0,0,0,0,0,0,1
Pseudemys concinna,2,57,emydidae,1,0,40.0,28.0,31.174407407407404,0,0,2,1,95.0,17.5,196.80432558196833,0,0,0,0,0,0,0,0,0,0,0,1,0
Gopherus polyphemus,2,57,testudinidae,1,1,50.0,25.0,4.0,0,0,2,1,100.0,13.0,196.80432558196833,0,0,0,0,0,0,0,0,0,0,0,1,0
Oxyuranus microlepidotus,2,53,elapidae,1,0,12.5,100.0,7.013792857142858,0,0,1,1,56.0,18.0,9.714285714285714,0,0,0,0,1,0,0,0,0,0,0,0,1
Crocodylus intermedius,2,16,crocodylidae,1,1,70.0,400.0,290.0,1,1,1,1,80.0,42.5,730.0,0,0,0,0,0,0,0,0,0,0,0,0,1
Stigmochelys pardalis,2,57,testudinidae,1,0,42.5,50.0,34.5,0,0,2,0,315.0,17.5,196.80432558196833,1,0,0,0,0,0,0,0,0,1,0,1,1
Crocodylus siamensis,2,16,crocodylidae,0,1,30.0,300.0,55.0,0,0,1,1,80.0,35.0,465.8333333333333,0,0,1,0,0,0,0,0,0,0,0,0,1
Hemidactylus frenatus,2,53,gekkonidae,1,0,5.0,11.25,7.013792857142858,0,1,0,1,54.0,2.0,9.714285714285714,0,0,1,0,1,0,0,0,0,0,0,0,1
