Scientific Name,Class,Order,Family,Trend,Status,Life Span (years),Length (cm),Weight (kg),Is Social,Is Nocturnal,Diet,Mating Behavior,Incubation Period (days),Baby Carrying,Independent Age (days),Africa,Antarctica,Asia,Europe,Oceania,South America,Central America,North America,Cold,Dry/Desert,Polar/Tundra,Temperate,Tropical
Buteo galapagoensis,aves,accipitriformes,accipitridae,1.0,1.0,24.0,51.5,0.4225,1,0,0.0,1.0,38.0,2.0,105.0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ara ambiguus,aves,psittaciformes,psittacidae,0.0,1.0,65.0,87.5,1.0,1,0,2.0,0.0,26.0,2.5,133.0,0,0,0,0,0,0,0,0,0,0,0,0,1
Aythya fuligula,aves,anseriformes,anatidae,1.0,0.0,4.0,43.5,0.2805,1,0,0.0,0.0,27.0,9.0,91.0,1,0,1,1,0,0,0,0,1,0,0,1,1
Anas wyvilliana,aves,anseriformes,anatidae,0.0,1.0,15.5,45.0,0.532,1,0,0.0,0.0,28.0,6.0,63.0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ninox novaeseelandiae,aves,strigiformes,strigidae,1.0,0.0,8.0,27.5,0.178,1,1,0.0,0.0,30.0,2.5,,0,0,0,0,1,0,0,0,0,0,0,1,0
Terathopius ecaudatus,aves,accipitriformes,accipitridae,0.0,0.0,27.0,62.5,2.0,1,0,0.0,0.0,55.0,1.0,120.0,1,0,1,0,0,0,0,0,0,0,0,0,1
Poicephalus senegalus,aves,psittaciformes,psittacidae,0.0,0.0,37.5,22.5,0.145,1,0,2.0,,27.5,3.5,84.0,1,0,0,0,0,0,0,0,0,0,0,0,1
Prosthemadera novaeseelandiae,aves,passeriformes,meliphagidae,0.0,0.0,12.0,29.5,0.104,1,0,2.0,0.0,13.5,3.0,,0,0,0,0,1,0,0,0,0,0,0,1,0
Caloenas nicobarica,aves,columbiformes,columbidae,0.0,0.0,11.5,40.0,0.53,1,0,2.0,0.0,14.0,1.0,90.0,0,0,1,0,1,0,0,0,0,0,0,0,1
Apteryx mantelli,aves,apterygiformes,apterygidae,1.0,1.0,35.0,,2.0,0,1,1.0,0.0,82.5,2.0,28.0,0,0,0,0,1,0,0,0,0,0,0,1,0
Porphyrio martinicus,aves,gruiformes,rallidae,0.0,0.0,22.0,31.5,0.223,0,0,0.0,0.0,19.0,7.5,63.0,0,0,0,0,0,0,0,0,0,0,0,1,1
Coracias caudatus,aves,coraciiformes,coraciidae,1.0,0.0,10.0,37.0,0.104,0,0,1.0,0.0,23.0,3.0,49.0,1,0,0,0,0,0,0,0,0,0,0,1,1
Nipponia nippon,aves,pelecaniformes,threskiornithidae,2.0,1.0,26.0,78.0,1.0,1,0,1.0,0.0,,3.5,45.0,0,0,1,0,0,0,0,0,0,0,0,1,0
Leucophaeus atricilla,aves,charadriiformes,laridae,2.0,0.0,18.5,38.5,0.287,1,0,0.0,0.0,21.0,3.5,35.0,0,0,0,0,0,0,0,0,0,0,0,1,1
Lophura nycthemera,aves,galliformes,phasianidae,0.0,0.0,17.5,90.0,1.5,1,0,2.0,1.0,,7.5,,0,0,1,0,0,0,0,0,0,0,0,0,1
Falco femoralis,aves,falconiformes,falconidae,0.0,0.0,12.0,41.0,0.334,1,0,1.0,0.0,30.0,2.5,31.5,0,0,0,0,0,0,0,0,0,1,0,0,1
Falco sparverius,aves,falconiformes,falconidae,1.0,0.0,14.0,26.5,0.1225,0,0,1.0,0.0,30.0,5.0,45.5,0,0,0,0,0,0,0,0,0,1,0,1,1
Perisoreus canadensis,aves,passeriformes,corvidae,0.0,0.0,19.0,29.0,0.0675,1,0,4.0,0.0,,3.5,60.0,0,0,0,0,0,0,0,0,1,0,0,1,0
Fratercula arctica,aves,charadriiformes,alcidae,0.0,1.0,25.0,29.0,0.5,1,0,1.0,0.0,42.0,1.0,42.0,1,0,0,1,0,0,0,0,0,0,1,1,0
Buteo swainsoni,aves,accipitriformes,accipitridae,1.0,0.0,17.5,49.5,0.5,1,0,1.0,0.0,34.5,2.5,31.5,0,0,0,0,0,0,0,0,0,0,0,1,1
Falco columbarius,aves,falconiformes,falconidae,1.0,0.0,8.5,28.5,0.2125,0,0,1.0,0.0,30.0,4.5,56.0,1,0,1,1,0,0,0,0,1,0,1,1,1
Strix uralensis,aves,strigiformes,strigidae,1.0,0.0,24.0,56.0,0.226,0,1,1.0,0.0,31.5,3.5,90.0,0,0,1,1,0,0,0,0,0,0,0,1,0
Strix varia,aves,strigiformes,strigidae,2.0,0.0,16.5,51.5,0.2345,0,1,1.0,0.0,28.0,2.5,180.0,0,0,0,0,0,0,0,0,0,0,0,1,1
Eumomota superciliosa,aves,coraciiformes,momotidae,1.0,0.0,16.0,34.0,0.065,1,0,0.0,0.0,21.0,4.5,30.0,0,0,0,0,0,0,0,0,0,0,0,0,1
Fulmarus glacialis,aves,procellariiformes,procellariidae,2.0,0.0,42.0,44.5,0.725,1,1,0.0,0.0,52.0,1.0,72.5,0,0,1,1,0,0,0,0,1,0,1,1,0
Pandion haliaetus,aves,accipitriformes,pandionidae,2.0,0.0,16.0,58.0,1.0,0,0,1.0,0.0,39.0,3.0,4.5,1,0,1,1,1,0,0,0,1,0,0,1,1
Surnia ulula,aves,strigiformes,strigidae,1.0,0.0,10.0,40.5,0.32,0,0,1.0,0.0,27.5,9.0,75.0,0,0,1,1,0,0,0,0,1,0,1,1,0
Pagodroma nivea,aves,procellariiformes,procellariidae,1.0,0.0,17.0,38.5,0.33,1,0,0.0,0.0,45.0,1.0,56.0,0,1,0,0,0,0,0,0,0,0,1,0,0
Strix aluco,aves,strigiformes,strigidae,1.0,0.0,15.5,41.0,0.5925,0,1,1.0,0.0,28.5,4.0,90.0,1,0,1,1,0,0,0,0,0,0,0,1,0
Bucorvus leadbeateri,aves,bucerotiformes,bucorvidae,0.0,1.0,60.0,109.5,4.0,1,0,1.0,0.0,42.5,2.0,547.5,1,0,0,0,0,0,0,0,0,0,0,1,1
Elanus axillaris,aves,accipitriformes,accipitridae,2.0,0.0,6.0,36.5,0.28,1,0,1.0,0.0,30.0,3.5,72.0,0,0,0,0,1,0,0,0,0,0,0,1,1
Ninox connivens,aves,strigiformes,strigidae,0.0,0.0,15.0,41.5,0.67,1,1,1.0,0.0,37.0,2.5,,0,0,1,0,1,0,0,0,0,0,0,1,1
Perdix perdix,aves,galliformes,phasianidae,0.0,0.0,4.0,30.0,0.4425,1,0,0.0,0.0,24.0,20.0,,0,0,1,1,0,0,0,0,0,0,0,1,0
Archilochus colubris,aves,apodiformes,trochilidae,2.0,0.0,7.0,8.0,0.004,0,0,2.0,1.0,12.0,2.0,20.0,0,0,0,0,0,0,0,0,0,0,0,1,1
Glaucidium californicum,aves,strigiformes,strigidae,2.0,0.0,6.5,16.0,0.0675,0,0,1.0,0.0,,4.5,55.0,0,0,0,0,0,0,0,0,0,0,0,1,1
Vanellus armatus,aves,charadriiformes,charadriidae,2.0,0.0,15.0,,,1,0,0.0,0.0,29.5,2.5,70.0,1,0,0,0,0,0,0,0,0,0,0,1,1
Turdus migratorius,aves,passeriformes,turdidae,2.0,0.0,8.0,25.5,0.0765,1,0,0.0,0.0,14.0,4.0,28.0,0,0,0,0,0,0,0,0,0,0,1,1,1
Icterus galbula,aves,passeriformes,icteridae,1.0,0.0,13.0,19.5,0.032,0,0,0.0,0.0,13.0,5.0,14.0,0,0,0,0,0,0,0,0,0,0,0,1,1
Pulsatrix perspicillata,aves,strigiformes,strigidae,0.0,0.0,30.0,46.5,0.227,0,1,1.0,0.0,35.0,1.5,365.0,0,0,0,0,0,0,0,0,0,0,0,0,1
Passerina caerulea,aves,passeriformes,cardinalidae,2.0,0.0,6.0,16.5,0.0285,1,0,0.0,0.0,11.5,4.0,9.5,0,0,0,0,0,0,0,0,0,0,0,1,1
Pharomachrus mocinno,aves,trogoniformes,trogonidae,0.0,0.0,6.5,38.0,0.195,0,0,0.0,0.0,18.0,2.0,,0,0,0,0,0,0,0,0,0,0,0,0,1
Calypte anna,aves,apodiformes,trochilidae,2.0,0.0,8.0,10.5,0.004,0,0,2.0,1.0,16.5,2.0,20.5,0,0,0,0,0,0,0,0,1,0,0,1,0
Pyrocephalus obscurus,aves,passeriformes,tyrannidae,2.0,0.0,5.0,13.5,0.0125,0,0,0.0,0.0,14.0,3.0,15.0,0,0,0,0,0,0,0,0,0,0,0,1,1
Apteryx haastii,aves,apterygiformes,apterygidae,0.0,1.0,35.0,,2.0,0,1,0.0,0.0,80.0,1.0,360.0,0,0,0,0,1,0,0,0,0,0,0,1,1
Apteryx australis,aves,apterygiformes,apterygidae,0.0,1.0,30.0,50.0,2.5,1,1,1.0,0.0,90.0,1.5,365.0,0,0,0,0,1,0,0,0,0,0,0,1,0
Strix occidentalis,aves,strigiformes,strigidae,0.0,0.0,18.5,,0.6,0,1,1.0,0.0,30.0,3.0,135.0,0,0,0,0,0,0,0,0,0,0,0,1,1
Corythaeola cristata,aves,musophagiformes,musophagidae,1.0,0.0,30.0,73.0,0.4005,1,0,2.0,0.0,30.0,2.0,90.0,1,0,0,0,0,0,0,0,0,0,0,0,1
Ninox strenua,aves,strigiformes,strigidae,1.0,0.0,15.0,55.0,1.5,1,1,1.0,0.0,37.0,2.0,,0,0,0,0,1,0,0,0,0,0,0,1,0
